// Name and Label MUST NOT exceed 23 characters (as marked)
//ID,   Name___________________,        Label__________________,            Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
503,    CasinoCoins,                    Kasinomünzen,                       3,      10,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
504,    DecorCandy,                     Zuckerstangen,                      3,      25,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
505,    MaggotSlime,                    Madenschleim,                       3,      8,          4,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
507,    ScorpionStinger,                Skorpionstachel,                    3,      50,         25,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
515,    PurplePresentBox,               Lila Geschenkschachtel,           3,      50,         25,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
516,    BluePresentBox,                 Blaue Geschenkschachtel,            3,      60,         30,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
517,    RedScorpionStinger,             Roter Skorpionstachel,              3,      170,        85,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
518,    BugLeg,                         Käferbein,                          3,      100,        25,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
526,    CoinBag,                        Münztasche,                         3,      1000,       500,        5,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
537,    TreasureKey,                    Schlüssel für Truhe,                3,      100,        50,         2,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
538,    GreenPresentBox,                Grüne Geschenkschachtel,            3,      20,         10,         10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
540,    EmptyBottle,                    Leere Flasche,                      3,      20,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
542,    BottleOfSand,                   Sand in einer Flasche,              3,      70,         35,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
551,    AquaHint,                       Aqua Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
552,    MagentaHint,                    Magenta Hint,                       3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
553,    YellowHint,                     Yellow Hint,                        3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
554,    GreenHint,                      Green Hint,                         3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
555,    TealHint,                       Teal Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
556,    PurpleHint,                     Purple Hint,                        3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
557,    RedHint,                        Red Hint,                           3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
558,    BlueHint,                       Blue Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
559,    OrangeHint,                     Orange Hint,                        3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
//ID,   Name___________________,        Label__________________,            Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
560,    GrayHint,                       Gray Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
569,    RawLog,                         Unverarbeitetes Holz,               3,      20,         10,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
589,    Toothbrush,                     Zahnbürste,                         3,      20,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
611,    WhiteFur,                       Weißes Fell,                        3,      8,          4,          8,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
612,    CaveSnakeLamp,                  Höhlenschlangenlampe,               3,      80,         40,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
613,    HardSpike,                      Harter Stachel,                    	3,      40,         10,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
614,    PinkAntenna,                    Pinke Antenne,                      3,      10,         5,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
631,    DarkCrystal,                    Dunkler Kristall,                   3,      1000,       250,        10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
635,    SantaCookie,                    Santa-Keks,                         3,      1,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
640,    IronOre,                        Eisenerz,                           3,      250,        100,        40,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
641,    SnakeSkin,                      Schlangenhaut,                      3,      250,        100,        15,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
660,    CottonCloth,                    Baumwollstoff,                      3,      400,        100,        10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
661,    RedRose,                        Rote Rose,                          3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
662,    WhiteRose,                      Weiße Rose,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
663,    DarkRedRose,                    Dunkelrote Rose,                    3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
664,    PinkRose,                       Pinke Rose,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
665,    YellowRose,                     Gelbe Rose,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
666,    BlackRose,                      Schwarze Rose,                      3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
667,    OrangeRose,                     Orangene Rose,                      3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
668,    BlueRose,                       Blaue Rose,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
669,    YellowTulip,                    Gelbe Tulpe,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
670,    PurpleTulip,                    Lilane Tulpe,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
671,    RedTulip,                       Rote Tulpe,                          3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
672,    WhiteTulip,                     Weiße Tulpe,                        3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
673,    PinkTulip,                      Pinke Tulpe,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
674,    OrangeTulip,                    Orangene Tulpe,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
677,    HeartNecklace,                  Herz-Halsband,                     3,      2500,       1000,       10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
680,    MauveHerb,                      Mauve Kraut,                         3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
681,    CobaltHerb,                     Cobalt Kraut,                        3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
682,    GambogeHerb,                    Gamboge Kraut,                       3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
683,    AlizarinHerb,                   Alizarin Kraut,                      3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
690,    RedDye,                         Rotes Färbemittel,                  3,      100,        20,         10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
691,    GreenDye,                       Grünes Färbemittel,                 3,      2500,       1000,       10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
